/// OKKK - KUWAIT REGIONS
MAP:Kuwait SMGCS - REGIONS:AGT2
FOLDER:Kuwait SMGCS
ACTIVE:1

COLOR:SMGCS_TARMAC
N029.13.50.000 E047.56.42.384
N029.13.54.928 E047.56.54.427
N029.13.32.111 E047.57.06.554
N029.13.32.864 E047.57.08.314
N029.13.43.246 E047.57.33.773
N029.14.19.255 E047.57.14.490
N029.14.23.856 E047.57.25.773
N029.14.22.097 E047.57.26.715
N029.14.23.696 E047.57.30.636
N029.14.20.741 E047.57.32.219
N029.14.20.641 E047.57.32.303
N029.14.20.557 E047.57.32.408
N029.14.20.490 E047.57.32.533
N029.14.20.444 E047.57.32.659
N029.14.20.411 E047.57.32.786
N029.14.20.397 E047.57.32.916
N029.14.20.407 E047.57.33.056
N029.14.20.436 E047.57.33.180
N029.14.23.859 E047.57.41.573
N029.14.25.542 E047.57.40.671
N029.14.26.167 E047.57.42.205
N029.14.27.874 E047.57.42.379
N029.14.28.052 E047.57.42.422
N029.14.28.229 E047.57.42.490
N029.14.28.402 E047.57.42.581
N029.14.28.571 E047.57.42.701
N029.14.28.713 E047.57.42.840
N029.14.28.844 E047.57.42.998
N029.14.28.954 E047.57.43.196
N029.14.29.049 E047.57.43.400
N029.14.30.228 E047.57.46.352
N029.14.30.310 E047.57.46.518
N029.14.30.409 E047.57.46.648
N029.14.30.534 E047.57.46.763
N029.14.30.668 E047.57.46.845
N029.14.30.823 E047.57.46.906
N029.14.30.983 E047.57.46.924
N029.14.31.169 E047.57.46.894
N029.14.31.345 E047.57.46.820
N029.15.07.617 E047.57.27.513
N029.15.10.052 E047.57.33.664
N029.14.36.696 E047.57.51.005
N029.14.35.101 E047.57.47.053
N029.14.35.028 E047.57.46.911
N029.14.34.914 E047.57.46.774
N029.14.34.798 E047.57.46.676
N029.14.34.662 E047.57.46.602
N029.14.34.518 E047.57.46.556
N029.14.34.364 E047.57.46.542
N029.14.34.216 E047.57.46.557
N029.14.34.074 E047.57.46.600
N029.14.31.775 E047.57.47.818
N029.14.31.620 E047.57.47.929
N029.14.31.487 E047.57.48.068
N029.14.31.381 E047.57.48.247
N029.14.31.312 E047.57.48.443
N029.14.31.294 E047.57.48.604
N029.14.31.298 E047.57.48.756
N029.14.31.328 E047.57.48.916
N029.14.31.377 E047.57.49.061
N029.14.32.584 E047.57.52.053
N029.14.32.652 E047.57.52.154
N029.14.32.743 E047.57.52.249
N029.14.32.853 E047.57.52.326
N029.14.32.959 E047.57.52.388
N029.14.33.080 E047.57.52.425
N029.14.33.207 E047.57.52.445
N029.14.33.325 E047.57.52.447
N029.14.33.448 E047.57.52.417
N029.14.36.099 E047.57.51.011
N029.14.39.306 E047.57.58.957
N029.14.31.637 E047.58.03.022
N029.14.28.442 E047.57.55.106
N029.14.28.970 E047.57.54.831
N029.14.29.054 E047.57.54.750
N029.14.29.122 E047.57.54.652
N029.14.29.175 E047.57.54.533
N029.14.29.213 E047.57.54.401
N029.14.29.234 E047.57.54.284
N029.14.29.236 E047.57.54.153
N029.14.29.223 E047.57.54.018
N029.14.29.186 E047.57.53.882
N029.14.27.938 E047.57.50.792
N029.14.26.980 E047.57.50.389
N029.14.12.149 E047.57.58.251
N029.14.11.998 E047.57.58.371
N029.14.11.868 E047.57.58.520
N029.14.11.763 E047.57.58.700
N029.14.11.688 E047.57.58.898
N029.14.11.660 E047.57.59.074
N029.14.11.658 E047.57.59.250
N029.14.11.672 E047.57.59.434
N029.14.11.716 E047.57.59.614
N029.14.13.286 E047.58.03.473
N029.14.16.765 E047.58.01.614
N029.14.20.229 E047.58.10.127
N029.14.21.233 E047.58.10.546
N029.14.26.945 E047.58.24.585
N029.14.25.538 E047.58.25.337
N029.14.25.330 E047.58.24.824
N029.14.24.324 E047.58.25.362
N029.14.19.371 E047.58.25.930
N029.14.14.204 E047.58.28.674
N029.14.13.828 E047.58.28.923
N029.14.13.478 E047.58.29.201
N029.14.13.274 E047.58.29.445
N029.14.13.129 E047.58.29.712
N029.14.13.015 E047.58.30.063
N029.14.12.978 E047.58.30.431
N029.14.12.998 E047.58.30.786
N029.14.13.065 E047.58.31.106
N029.14.15.503 E047.58.37.280
N029.14.15.577 E047.58.37.406
N029.14.15.669 E047.58.37.528
N029.14.15.776 E047.58.37.600
N029.14.15.894 E047.58.37.667
N029.14.16.029 E047.58.37.705
N029.14.16.164 E047.58.37.717
N029.14.16.299 E047.58.37.704
N029.14.16.427 E047.58.37.667
N029.14.21.564 E047.58.34.933
N029.14.20.820 E047.58.33.099
N029.14.24.953 E047.58.30.899
N029.14.25.602 E047.58.32.502
N029.14.25.791 E047.58.32.402
N029.14.27.135 E047.58.35.719
N029.14.26.453 E047.58.36.082
N029.14.27.116 E047.58.37.718
N029.14.22.706 E047.58.40.065
N029.14.21.357 E047.58.36.736
N029.14.21.301 E047.58.36.634
N029.14.21.231 E047.58.36.537
N029.14.21.155 E047.58.36.474
N029.14.21.063 E047.58.36.433
N029.14.20.951 E047.58.36.402
N029.14.20.839 E047.58.36.392
N029.14.20.720 E047.58.36.399
N029.14.20.604 E047.58.36.421
N029.14.16.740 E047.58.38.477
N029.14.16.602 E047.58.38.588
N029.14.16.479 E047.58.38.728
N029.14.16.393 E047.58.38.884
N029.14.16.339 E047.58.39.018
N029.14.16.301 E047.58.39.175
N029.14.16.287 E047.58.39.314
N029.14.16.311 E047.58.39.465
N029.14.16.352 E047.58.39.609
N029.14.19.680 E047.58.48.357
N029.14.19.763 E047.58.48.492
N029.14.19.861 E047.58.48.603
N029.14.19.976 E047.58.48.686
N029.14.20.095 E047.58.48.735
N029.14.20.218 E047.58.48.777
N029.14.20.349 E047.58.48.793
N029.14.20.486 E047.58.48.802
N029.14.20.624 E047.58.48.773
N029.14.21.874 E047.58.48.135
N029.14.21.942 E047.58.48.089
N029.14.22.003 E047.58.48.028
N029.14.22.051 E047.58.47.954
N029.14.22.090 E047.58.47.868
N029.14.22.119 E047.58.47.790
N029.14.22.126 E047.58.47.697
N029.14.22.113 E047.58.47.598
N029.14.22.085 E047.58.47.505
N029.14.21.437 E047.58.45.836
N029.14.47.135 E047.58.32.731
N029.14.49.678 E047.58.39.282
N029.14.27.847 E047.58.50.416
N029.14.27.682 E047.58.50.548
N029.14.27.552 E047.58.50.718
N029.14.27.444 E047.58.50.915
N029.14.27.363 E047.58.51.123
N029.14.27.302 E047.58.51.333
N029.14.27.274 E047.58.51.554
N029.14.27.288 E047.58.51.765
N029.14.27.331 E047.58.51.956
N029.14.28.963 E047.58.56.160
N029.14.29.101 E047.58.56.613
N029.14.29.140 E047.58.57.109
N029.14.29.083 E047.58.57.602
N029.14.28.924 E047.58.58.058
N029.14.28.110 E047.58.59.429
N029.14.28.711 E047.59.00.915
N029.12.45.662 E047.59.55.631
N029.12.45.052 E047.59.54.150
N029.12.43.659 E047.59.53.985
N029.12.43.231 E047.59.53.840
N029.12.42.852 E047.59.53.599
N029.12.42.565 E047.59.53.273
N029.12.42.338 E047.59.52.891
N029.12.41.051 E047.59.49.708
N029.12.40.955 E047.59.49.374
N029.12.40.906 E047.59.49.000
N029.12.40.937 E047.59.48.633
N029.12.41.006 E047.59.48.281
N029.12.41.146 E047.59.47.915
N029.12.41.349 E047.59.47.581
N029.12.41.598 E047.59.47.317
N029.12.41.883 E047.59.47.109
N029.13.39.422 E047.59.16.553
N029.13.38.333 E047.59.13.840
N029.13.36.487 E047.59.14.812
N029.13.36.330 E047.59.14.891
N029.13.36.154 E047.59.14.908
N029.13.35.980 E047.59.14.874
N029.13.35.821 E047.59.14.769
N029.13.34.088 E047.59.13.426
N029.13.33.832 E047.59.13.212
N029.13.33.604 E047.59.12.992
N029.13.33.404 E047.59.12.750
N029.13.33.199 E047.59.12.467
N029.13.31.432 E047.59.08.002
N029.13.42.809 E047.59.02.091
N029.13.45.877 E047.59.09.846
N029.13.44.004 E047.59.10.819
N029.13.44.833 E047.59.12.914
N029.13.44.895 E047.59.13.011
N029.13.44.963 E047.59.13.095
N029.13.45.053 E047.59.13.158
N029.13.45.149 E047.59.13.207
N029.13.45.249 E047.59.13.236
N029.13.45.354 E047.59.13.254
N029.13.45.453 E047.59.13.253
N029.13.45.560 E047.59.13.227
N029.13.48.380 E047.59.11.762
N029.13.48.531 E047.59.11.662
N029.13.48.663 E047.59.11.531
N029.13.48.773 E047.59.11.376
N029.13.48.852 E047.59.11.190
N029.13.48.898 E047.59.10.995
N029.13.48.910 E047.59.10.792
N029.13.48.892 E047.59.10.582
N029.13.48.837 E047.59.10.369
N029.13.45.598 E047.59.02.181
N029.13.54.439 E047.58.57.588
N029.13.55.658 E047.59.00.669
N029.13.55.728 E047.59.00.804
N029.13.55.825 E047.59.00.924
N029.13.55.944 E047.59.01.019
N029.13.56.068 E047.59.01.095
N029.13.56.213 E047.59.01.151
N029.13.56.371 E047.59.01.169
N029.13.56.520 E047.59.01.151
N029.13.56.670 E047.59.01.105
N029.13.59.618 E047.58.59.574
N029.13.57.651 E047.58.54.602
N029.14.09.509 E047.58.48.441
N029.14.11.466 E047.58.53.530
N029.14.14.064 E047.58.52.217
N029.14.14.207 E047.58.52.104
N029.14.14.326 E047.58.51.949
N029.14.14.426 E047.58.51.783
N029.14.14.497 E047.58.51.610
N029.14.14.560 E047.58.51.420
N029.14.14.589 E047.58.51.207
N029.14.14.582 E047.58.51.007
N029.14.14.544 E047.58.50.801
N029.14.01.477 E047.58.16.827
N029.14.01.361 E047.58.16.685
N029.14.01.228 E047.58.16.564
N029.14.01.112 E047.58.16.482
N029.14.00.983 E047.58.16.427
N029.14.00.834 E047.58.16.372
N029.14.00.686 E047.58.16.350
N029.14.00.546 E047.58.16.349
N029.14.00.401 E047.58.16.378
N029.13.59.299 E047.58.16.965
N029.13.58.943 E047.58.17.103
N029.13.58.551 E047.58.17.150
N029.13.58.175 E047.58.17.110
N029.13.57.823 E047.58.16.997
N029.13.57.491 E047.58.16.811
N029.13.57.196 E047.58.16.550
N029.13.56.950 E047.58.16.241
N029.13.56.753 E047.58.15.900
N029.13.55.352 E047.58.12.449
N029.13.55.253 E047.58.12.241
N029.13.55.125 E047.58.12.070
N029.13.54.958 E047.58.11.927
N029.13.54.780 E047.58.11.828
N029.13.54.594 E047.58.11.773
N029.13.54.388 E047.58.11.758
N029.13.54.185 E047.58.11.802
N029.13.54.002 E047.58.11.884
N029.13.49.707 E047.58.14.175
N029.13.49.342 E047.58.14.319
N029.13.48.966 E047.58.14.432
N029.13.48.578 E047.58.14.486
N029.13.48.189 E047.58.14.492
N029.13.43.249 E047.58.14.011
N029.13.42.907 E047.58.14.022
N029.13.42.573 E047.58.14.073
N029.13.42.256 E047.58.14.172
N029.13.41.958 E047.58.14.301
N029.12.47.428 E047.58.43.273
N029.12.47.088 E047.58.43.406
N029.12.46.729 E047.58.43.466
N029.12.46.369 E047.58.43.442
N029.12.46.029 E047.58.43.349
N029.12.45.693 E047.58.43.183
N029.12.45.401 E047.58.42.961
N029.12.45.150 E047.58.42.692
N029.12.44.941 E047.58.42.374
N029.12.44.084 E047.58.40.256
N029.12.44.036 E047.58.40.115
N029.12.43.999 E047.58.39.972
N029.12.43.967 E047.58.39.798
N029.12.43.955 E047.58.39.623
N029.12.43.961 E047.58.39.397
N029.12.43.996 E047.58.39.179
N029.12.44.065 E047.58.38.946
N029.12.44.170 E047.58.38.725
N029.12.46.319 E047.58.35.227
N029.12.45.979 E047.58.35.407
N029.12.45.381 E047.58.33.927
N029.13.49.559 E047.57.59.836
N029.13.49.657 E047.57.59.767
N029.13.49.742 E047.57.59.677
N029.13.49.811 E047.57.59.557
N029.13.49.856 E047.57.59.429
N029.13.49.878 E047.57.59.303
N029.13.49.895 E047.57.59.148
N029.13.49.890 E047.57.59.015
N029.13.49.864 E047.57.58.838
N029.13.48.190 E047.57.54.743
N029.13.48.036 E047.57.54.504
N029.13.47.859 E047.57.54.291
N029.13.47.642 E047.57.54.100
N029.13.47.395 E047.57.53.968
N029.13.47.139 E047.57.53.894
N029.13.46.873 E047.57.53.876
N029.13.46.595 E047.57.53.897
N029.13.46.335 E047.57.53.973
N029.13.34.716 E047.58.00.209
N029.13.09.622 E047.56.58.816
N029.13.09.493 E047.56.58.596
N029.13.09.335 E047.56.58.415
N029.13.09.140 E047.56.58.290
N029.13.08.934 E047.56.58.201
N029.13.08.736 E047.56.58.157
N029.13.08.525 E047.56.58.130
N029.13.08.320 E047.56.58.145
N029.13.08.121 E047.56.58.186
N029.11.30.914 E047.57.49.841
N029.11.30.592 E047.57.49.937
N029.11.30.261 E047.57.49.980
N029.11.29.925 E047.57.49.949
N029.11.29.600 E047.57.49.867
N029.11.29.276 E047.57.49.714
N029.11.28.966 E047.57.49.486
N029.11.28.687 E047.57.49.183
N029.11.28.446 E047.57.48.836
N029.11.27.648 E047.57.46.915
N029.11.27.593 E047.57.46.748
N029.11.27.549 E047.57.46.584
N029.11.27.509 E047.57.46.409
N029.11.27.489 E047.57.46.226
N029.11.27.482 E047.57.46.056
N029.11.27.483 E047.57.45.884
N029.11.27.500 E047.57.45.709
N029.11.27.529 E047.57.45.532
N029.11.28.327 E047.57.43.035
N029.11.27.477 E047.57.43.487
N029.11.26.665 E047.57.41.482
N029.13.41.487 E047.56.29.825
N029.13.42.294 E047.56.31.815
N029.13.41.432 E047.56.32.274
N029.13.43.676 E047.56.33.213
N029.13.43.922 E047.56.33.408
N029.13.44.143 E047.56.33.631
N029.13.44.324 E047.56.33.908
N029.13.44.474 E047.56.34.197
N029.13.47.379 E047.56.41.320
N029.13.48.243 E047.56.43.360
COORDTYPE:OTHER:REGION

COLOR:SMGCS_GRASS
COORDTYPE:OTHER:REGION
N029.12.46.246 E047.59.53.516
N029.12.43.743 E047.59.53.132
N029.12.43.620 E047.59.53.100
N029.12.43.501 E047.59.53.048
N029.12.43.382 E047.59.52.974
N029.12.43.278 E047.59.52.882
N029.12.43.197 E047.59.52.790
N029.12.43.115 E047.59.52.676
N029.12.43.034 E047.59.52.543
N029.12.42.969 E047.59.52.403
N029.12.41.732 E047.59.49.298
N029.12.41.698 E047.59.49.132
N029.12.41.679 E047.59.48.956
N029.12.41.689 E047.59.48.792
N029.12.41.719 E047.59.48.628
N029.12.41.758 E047.59.48.458
N029.12.41.824 E047.59.48.299
N029.12.41.915 E047.59.48.127
N029.12.42.042 E047.59.47.981
N029.12.44.480 E047.59.46.633
N029.12.44.663 E047.59.46.539
N029.12.44.811 E047.59.46.511
N029.12.44.956 E047.59.46.537
N029.12.45.073 E047.59.46.605
N029.12.45.181 E047.59.46.717
N029.12.45.259 E047.59.46.857
N029.12.45.342 E047.59.47.054
N029.12.47.461 E047.59.52.226
N029.12.47.508 E047.59.52.427
N029.12.47.510 E047.59.52.584
N029.12.47.472 E047.59.52.735
N029.12.47.402 E047.59.52.848
N029.12.47.310 E047.59.52.951
COORDTYPE:OTHER:REGION
N029.12.56.324 E047.59.40.349
N029.12.56.387 E047.59.40.333
N029.12.56.451 E047.59.40.322
N029.12.56.514 E047.59.40.330
N029.12.56.573 E047.59.40.359
N029.12.56.620 E047.59.40.399
N029.12.56.661 E047.59.40.453
N029.12.56.681 E047.59.40.517
N029.12.56.693 E047.59.40.585
N029.12.56.725 E047.59.40.984
N029.12.56.837 E047.59.41.355
N029.12.57.013 E047.59.41.711
N029.12.57.237 E047.59.42.027
N029.12.57.464 E047.59.42.248
N029.12.57.727 E047.59.42.436
N029.12.58.001 E047.59.42.557
N029.12.58.280 E047.59.42.614
N029.13.04.192 E047.59.43.420
N029.13.04.256 E047.59.43.454
N029.13.04.311 E047.59.43.505
N029.13.04.352 E047.59.43.574
N029.13.04.377 E047.59.43.656
N029.13.04.377 E047.59.43.742
N029.13.04.360 E047.59.43.828
N029.13.04.306 E047.59.43.902
N029.13.04.237 E047.59.43.964
N029.12.48.980 E047.59.52.064
