
# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# OKKK
OKKK,33L,ALVAX,ALVAX,2
OKKK,33L,ALVAX,ASVIR,1
OKKK,33L,ALVAX,BOXIK,1
OKKK,33L,ALVAX,DEKOB,1
OKKK,33L,ALVAX,KATOD,1
OKKK,33L,ALVAX,NIDAP,1
OKKK,33L,ALVAX,SESRU,1
OKKK,33L,ALVAX,TASMI,1
OKKK,33L,ASVIR,ALVAX,1
OKKK,33L,ASVIR,ASVIR,2
OKKK,33L,ASVIR,BOXIK,1
OKKK,33L,ASVIR,DEKOB,1
OKKK,33L,ASVIR,KATOD,1
OKKK,33L,ASVIR,NIDAP,1
OKKK,33L,ASVIR,SESRU,1
OKKK,33L,ASVIR,TASMI,1
OKKK,33L,BOXIK,ALVAX,1
OKKK,33L,BOXIK,ASVIR,1
OKKK,33L,BOXIK,BOXIK,2
OKKK,33L,BOXIK,DEKOB,1
OKKK,33L,BOXIK,KATOD,1
OKKK,33L,BOXIK,NIDAP,1
OKKK,33L,BOXIK,SESRU,1
OKKK,33L,BOXIK,TASMI,1
OKKK,33L,DEKOB,ALVAX,1
OKKK,33L,DEKOB,ASVIR,1
OKKK,33L,DEKOB,BOXIK,1
OKKK,33L,DEKOB,DEKOB,2
OKKK,33L,DEKOB,KATOD,1
OKKK,33L,DEKOB,NIDAP,1
OKKK,33L,DEKOB,SESRU,1
OKKK,33L,DEKOB,TASMI,1
OKKK,33L,KATOD,ALVAX,1
OKKK,33L,KATOD,ASVIR,1
OKKK,33L,KATOD,BOXIK,1
OKKK,33L,KATOD,DEKOB,1
OKKK,33L,KATOD,KATOD,2
OKKK,33L,KATOD,NIDAP,1
OKKK,33L,KATOD,SESRU,1
OKKK,33L,KATOD,TASMI,1
OKKK,33L,NIDAP,ALVAX,1
OKKK,33L,NIDAP,ASVIR,1
OKKK,33L,NIDAP,BOXIK,1
OKKK,33L,NIDAP,DEKOB,1
OKKK,33L,NIDAP,KATOD,1
OKKK,33L,NIDAP,NIDAP,2
OKKK,33L,NIDAP,SESRU,1
OKKK,33L,NIDAP,TASMI,1
OKKK,33L,SESRU,ALVAX,1
